created_time,favorite_count,retweet_count,china,billion,products,democrats,great,dollars,tariffs,country,mueller,border,president,congressman,people,korea,party,years,farmers,going,trade,never
Tue Nov 12 20:27:14 +0000 2019,0,12819,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tue Nov 12 20:26:58 +0000 2019,0,7161,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tue Nov 12 20:26:40 +0000 2019,0,7616,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tue Nov 12 18:45:19 +0000 2019,0,13729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Nov 12 15:41:35 +0000 2019,70392,21765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Nov 12 11:45:28 +0000 2019,81845,20928,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Tue Nov 12 11:32:57 +0000 2019,113578,21695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Nov 12 11:31:21 +0000 2019,95420,21259,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tue Nov 12 11:25:15 +0000 2019,47428,11672,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tue Nov 12 11:25:15 +0000 2019,49337,12638,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tue Nov 12 11:25:11 +0000 2019,66493,16929,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Tue Nov 12 03:07:37 +0000 2019,65818,10982,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Nov 12 01:33:57 +0000 2019,24895,7526,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Nov 12 00:57:13 +0000 2019,72393,20129,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Mon Nov 11 23:58:15 +0000 2019,42903,10698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 23:58:14 +0000 2019,58138,15830,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mon Nov 11 23:42:53 +0000 2019,63686,16890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 23:35:22 +0000 2019,129370,32534,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mon Nov 11 23:24:24 +0000 2019,81306,20296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 23:18:30 +0000 2019,88906,24423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 22:10:09 +0000 2019,95743,18909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 20:40:30 +0000 2019,0,7148,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 20:39:55 +0000 2019,53097,13422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 20:37:41 +0000 2019,0,7700,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mon Nov 11 20:37:11 +0000 2019,0,8842,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mon Nov 11 20:26:38 +0000 2019,109098,24128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 19:28:49 +0000 2019,84580,22289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 19:16:08 +0000 2019,0,2911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 17:48:48 +0000 2019,0,11505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 17:48:17 +0000 2019,0,10596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 17:48:08 +0000 2019,0,7387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 14:25:38 +0000 2019,51832,13778,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
Mon Nov 11 14:20:28 +0000 2019,92732,25587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 14:12:00 +0000 2019,72986,19462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 14:09:57 +0000 2019,61987,14793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 14:00:40 +0000 2019,61898,13424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 13:42:32 +0000 2019,169182,30829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 13:21:29 +0000 2019,0,9985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 11:25:08 +0000 2019,51522,13547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 03:44:14 +0000 2019,42550,10804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 02:30:42 +0000 2019,0,13752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 02:30:18 +0000 2019,0,27488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 02:25:43 +0000 2019,39363,12303,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Mon Nov 11 02:25:09 +0000 2019,74560,18758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 02:08:36 +0000 2019,34484,10224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 01:55:45 +0000 2019,37174,11055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 01:54:46 +0000 2019,31862,10338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 01:51:16 +0000 2019,0,31827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 01:44:02 +0000 2019,0,16323,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mon Nov 11 01:43:52 +0000 2019,0,12694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 01:30:35 +0000 2019,0,15461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 01:29:45 +0000 2019,0,6809,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sun Nov 10 23:02:52 +0000 2019,54706,13102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Nov 10 19:43:31 +0000 2019,97060,22855,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sun Nov 10 19:06:15 +0000 2019,73213,19814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sun Nov 10 18:58:14 +0000 2019,95088,27612,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sun Nov 10 17:21:54 +0000 2019,0,23303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Nov 10 16:12:36 +0000 2019,95634,30587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Nov 10 16:07:33 +0000 2019,0,14021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Nov 10 16:07:23 +0000 2019,0,10010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Nov 10 03:59:10 +0000 2019,78211,21460,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Nov 10 03:56:51 +0000 2019,0,28981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Nov 10 03:49:14 +0000 2019,92921,19237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Nov 10 02:43:40 +0000 2019,74199,14565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Nov 10 02:28:21 +0000 2019,0,9102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Nov 10 02:27:38 +0000 2019,0,9599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Nov 10 02:27:23 +0000 2019,0,6862,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sun Nov 10 02:27:15 +0000 2019,0,8162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Nov 10 02:27:01 +0000 2019,0,5784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Nov 10 02:26:56 +0000 2019,0,6822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
